analysis,model_n,model_scale_sd,soc_biomarker_or_per_sd,trident_biomarker_or_per_sd,interaction_or,interaction_ci_lower,interaction_ci_upper,interaction_p_value,converged
Primary: includes TRI-018,246,0.8784008180466845,0.7823553323210345,1.3155687679727246,1.681548924923655,0.9312204728046941,3.0364525582170456,0.08477408602974859,True
Sensitivity: excludes TRI-018,245,0.8541241735974372,0.8022419342851699,1.305634373409454,1.6274820819143883,0.9067104573158857,2.9212169172430977,0.1027139065159302,True
