biomarker,n_responder,n_nonresponder,median_difference,rank_biserial,bootstrap_95_ci,raw_p_value,fdr_p_value,significant_after_fdr
VEGF,67,179,-21.80,-0.091,-0.254 to 0.069,0.274,0.805,No
PD-L1 TPS,67,179,-3.40,-0.070,-0.230 to 0.085,0.400,0.805,No
CRP,67,178,0.49,0.068,-0.098 to 0.226,0.412,0.805,No
IL-6,67,178,0.33,0.061,-0.098 to 0.224,0.460,0.805,No
ctDNA fraction,67,179,0.41,0.030,-0.133 to 0.191,0.722,0.968,No
IFN-gamma,67,179,-0.30,-0.011,-0.181 to 0.161,0.891,0.968,No
TNF-alpha,67,179,0.07,0.003,-0.161 to 0.172,0.968,0.968,No
