biomarker,variable,transformation,model_n,model_scale_sd,soc_biomarker_or_per_sd,trident_biomarker_or_per_sd,interaction_coefficient,interaction_or,interaction_ci_lower,interaction_ci_upper,interaction_p_value,fdr_p_value,significant_after_fdr,converged
ctDNA fraction,ctdna_fraction_percent,log,246,0.8784008180466845,0.7823553323210345,1.3155687679727246,0.5197153477747017,1.681548924923655,0.9312204728046941,3.0364525582170456,0.08477408602974859,0.5663755849737887,False,True
IL-6,il6_pg_ml,log,245,0.540370298939901,1.314520055520516,0.8897345668404201,-0.3903037224623499,0.6768512683422757,0.3740419789739344,1.224802736616022,0.1971071599589881,0.5663755849737887,False,True
TNF-α,tnf_alpha_pg_ml,log,245,0.4295001528374108,0.8344225035417333,1.1833217553855073,0.34934093652051174,1.4181326011257605,0.7891660186770659,2.548386558441863,0.24273239356019516,0.5663755849737887,False,True
VEGF,vegf_pg_ml,raw,246,85.77487886922776,0.7428204660710819,0.9713940239516275,0.2682777961985607,1.307710366529768,0.7242529967597989,2.361200313122878,0.37353797839677105,0.6536914621943494,False,True
CRP,crp_mg_l,sqrt,245,0.9518158542629059,0.9190036792611851,1.0564861684935363,0.13941361925540957,1.1495994981683617,0.6352719580264568,2.0803358144354136,0.6450171640736019,0.8983333333333334,False,True
PD-L1 TPS,pdl1_tps_percent,raw,245,17.2,0.855,0.934515,0.08892620919440149,1.093,0.6,1.992,0.77,0.8983333333333334,False,True
IFN-γ,ifn_gamma_pg_ml,log,246,0.4577282577068599,0.9983087590212492,0.9880260239234299,-0.010353568836383182,0.9896998448577166,0.5468859220183334,1.791060518245617,0.9727089291108066,0.9727089291108066,False,True
