Biomarker,Modeling scale,Model n,SOC biomarker OR per SD,TRIDENT + SOC biomarker OR per SD,Interaction OR (95% CI),Raw p-value,FDR p-value,Predictive evidence after FDR
ctDNA fraction,"Natural log, standardized",246,0.782,1.316,1.682 (0.931–3.036),0.085,0.566,No
IL-6,"Natural log, standardized",245,1.315,0.890,0.677 (0.374–1.225),0.197,0.566,No
TNF-α,"Natural log, standardized",245,0.834,1.183,1.418 (0.789–2.548),0.243,0.566,No
VEGF,"Raw, standardized",246,0.743,0.971,1.308 (0.724–2.361),0.374,0.654,No
CRP,"Square root, standardized",245,0.919,1.056,1.150 (0.635–2.080),0.645,0.898,No
PD-L1 TPS,"Raw, standardized",245,0.855,0.935,1.093 (0.600–1.992),0.770,0.898,No
IFN-γ,"Natural log, standardized",246,0.998,0.988,0.990 (0.547–1.791),0.973,0.973,No
