biomarker,n_responder,n_nonresponder,median_difference,rank_biserial,ci_lower,ci_upper,mann_whitney_u,raw_p_value,fdr_p_value,significant_fdr_0_05
VEGF,67,179,-21.8,-0.09080296839823232,-0.2539043608771783,0.06937588593346114,5452.0,0.27355623909135396,0.8046185944366231,False
PD-L1 TPS,67,179,-3.4,-0.06979071124822811,-0.23005503210205958,0.08540190110898006,5578.0,0.400171972296796,0.8046185944366231,False
CRP,67,178,0.49,0.06808653362401484,-0.09752222035887975,0.2264799597518028,6369.0,0.41215731244760534,0.8046185944366231,False
IL-6,67,178,0.33,0.061378500754653675,-0.09769201744088543,0.22354519537145734,6329.0,0.4597820539637846,0.8046185944366231,False
ctDNA fraction,67,179,0.41,0.029517218377386856,-0.13332777453514555,0.1907862920036686,6173.5,0.7224076386709095,0.9678902861101337,False
IFN-gamma,67,179,-0.3,-0.011423330275994292,-0.18112440590344364,0.16067706161927786,5928.0,0.8911379642858521,0.9678902861101337,False
TNF-alpha,67,179,0.07,0.0034186608855164557,-0.16136079379638124,0.17202534811973635,6017.0,0.9678902861101337,0.9678902861101337,False
