,il6_pg_ml,crp_mg_l,tnf_alpha_pg_ml,ifn_gamma_pg_ml,vegf_pg_ml,pdl1_tps_percent,ctdna_fraction_percent
il6_pg_ml,1.0,0.7797163637375114,-0.13537347503178515,0.049002612570033514,-0.034308628122546966,-0.0010763453510844194,0.028149361177063136
crp_mg_l,0.7797163637375114,1.0,-0.1665020536552496,0.0007639801208014235,-0.05003833988797466,-0.036814561057969056,0.04702653694142386
tnf_alpha_pg_ml,-0.13537347503178515,-0.1665020536552496,1.0,-0.08271617498166815,0.014236556708681852,0.04256139648871938,-0.05115734030843697
ifn_gamma_pg_ml,0.049002612570033514,0.0007639801208014235,-0.08271617498166815,1.0,-0.0320167137212543,-0.047996480128057066,-0.004230606055726163
vegf_pg_ml,-0.034308628122546966,-0.05003833988797466,0.014236556708681852,-0.0320167137212543,1.0,0.06343679007029367,-0.00988921247050914
pdl1_tps_percent,-0.0010763453510844194,-0.036814561057969056,0.04256139648871938,-0.047996480128057066,0.06343679007029367,1.0,-0.10578808855991391
ctdna_fraction_percent,0.028149361177063136,0.04702653694142386,-0.05115734030843697,-0.004230606055726163,-0.00988921247050914,-0.10578808855991391,1.0
